count,unique,nodes_num,top10,top10_20,mid,last,precision_10,recall_10,precision_20,recall_20
71,5.931495405179615,1197,23,17,4,1,0.19327731092436976,0.323943661971831,0.16736401673640167,0.5633802816901409
67,4.2756860242501595,1567,22,20,5,2,0.14102564102564102,0.3283582089552239,0.134185303514377,0.6268656716417911
68,3.485392106611994,1951,22,13,9,1,0.11282051282051282,0.3235294117647059,0.08974358974358974,0.5147058823529411
57,2.4825783972125435,2296,20,4,6,2,0.08733624454148471,0.3508771929824561,0.05228758169934641,0.42105263157894735
56,2.1447721179624666,2611,21,7,5,1,0.08045977011494253,0.375,0.05363984674329502,0.5
50,1.688048615800135,2962,19,3,2,1,0.06418918918918919,0.38,0.037162162162162164,0.44
52,1.569574403863568,3313,21,4,2,4,0.0634441087613293,0.40384615384615385,0.0377643504531722,0.4807692307692308
43,1.19877334820184,3587,20,3,2,2,0.055865921787709494,0.46511627906976744,0.03207810320781032,0.5348837209302325
48,1.235839340885685,3884,25,2,0,2,0.06443298969072164,0.5208333333333334,0.03479381443298969,0.5625
198,4.836345872007816,4094,170,5,1,2,0.4156479217603912,0.8585858585858586,0.2139364303178484,0.8838383838383839
308,7.218186079212561,4267,257,18,3,2,0.6032863849765259,0.8344155844155844,0.3223915592028136,0.8928571428571429
369,8.361658735554045,4413,233,100,3,2,0.528344671201814,0.6314363143631436,0.37755102040816324,0.9024390243902439
400,8.77577885037297,4558,198,164,5,4,0.4351648351648352,0.495,0.3973655323819978,0.905
401,8.528285835814547,4702,168,158,3,3,0.3574468085106383,0.41895261845386533,0.3468085106382979,0.8129675810473815
426,8.810754912099277,4835,130,174,11,3,0.2691511387163561,0.3051643192488263,0.31437435367114785,0.7136150234741784
388,7.7398763215639335,5013,106,168,13,3,0.21157684630738524,0.27319587628865977,0.27345309381237526,0.7061855670103093
394,7.641582622187743,5156,94,170,14,3,0.1825242718446602,0.23857868020304568,0.2560620756547042,0.6700507614213198
359,6.73672358791518,5329,75,145,5,3,0.14097744360902256,0.20891364902506965,0.20657276995305165,0.6128133704735376
339,6.209928558344019,5459,74,134,9,4,0.13577981651376148,0.2182890855457227,0.19065077910174152,0.6135693215339233
358,6.413471873880329,5582,76,121,11,3,0.13620071684587814,0.2122905027932961,0.17652329749103943,0.5502793296089385
329,5.749737853897239,5722,62,116,7,4,0.10839160839160839,0.1884498480243161,0.1555944055944056,0.541033434650456
495,8.550699602694765,5789,249,82,8,4,0.43079584775086505,0.503030303030303,0.28608470181503887,0.6686868686868687
649,11.113013698630137,5840,367,59,11,5,0.6284246575342466,0.5654853620955316,0.3647260273972603,0.6563944530046225
771,13.047893044508378,5909,466,59,14,5,0.7898305084745763,0.6044098573281452,0.4445385266723116,0.6809338521400778
895,15.029387069689337,5955,488,129,25,5,0.8201680672268907,0.5452513966480447,0.5180520570948782,0.6893854748603352
970,16.15051615051615,6006,483,219,21,5,0.805,0.4979381443298969,0.5845129059117402,0.7237113402061855
1028,16.921810699588477,6075,481,290,26,5,0.7924217462932455,0.4678988326848249,0.6345679012345679,0.75
1108,18.05736636245111,6136,439,394,32,3,0.7161500815660685,0.39620938628158847,0.6788916055419723,0.7518050541516246
1215,19.61892459228161,6193,428,427,43,5,0.691437802907916,0.3522633744855967,0.6906300484652665,0.7037037037037037
1273,20.31599106287903,6266,427,441,50,6,0.6821086261980831,0.3354281225451689,0.6927374301675978,0.6818538884524745
1349,21.270892462945444,6342,394,469,61,6,0.6214511041009464,0.2920681986656783,0.6805993690851735,0.6397331356560415
1354,21.166171642957636,6397,390,455,65,4,0.6103286384976526,0.2880354505169867,0.6606724003127443,0.6240768094534712
1370,21.220570012391573,6456,358,453,80,4,0.5550387596899224,0.2613138686131387,0.6281951975213013,0.591970802919708
1491,22.857580867698914,6523,415,456,93,2,0.6365030674846626,0.278336686787391,0.6679447852760736,0.5841716968477532
1579,24.095833969174425,6553,463,454,110,2,0.7068702290076336,0.29322355921469284,0.7,0.5807473084230526
1647,25.011389521640094,6585,518,444,123,4,0.7872340425531915,0.3145112325440194,0.7304479878511769,0.5840922890103218
1733,26.19011636693366,6617,543,438,139,5,0.8214826021180031,0.31332948643969993,0.7414965986394558,0.566070398153491
1814,27.269993986770896,6652,552,463,150,4,0.8300751879699249,0.30429988974641675,0.7631578947368421,0.5595369349503859
1929,28.821156432093233,6693,566,501,177,4,0.8460388639760837,0.29341627786417834,0.79745889387145,0.5531363400725765
1977,29.323642835953724,6742,566,516,184,4,0.8397626112759644,0.2862923621648963,0.8026706231454006,0.5472938796155792
2012,29.631811487481592,6790,581,493,186,3,0.8556701030927835,0.28876739562624254,0.7908689248895434,0.5337972166998012
2022,29.557082297909666,6841,566,515,157,5,0.827485380116959,0.2799208704253215,0.7902046783625731,0.5346191889218596
2091,30.36155074778568,6887,577,536,158,5,0.8386627906976745,0.27594452415112386,0.8082788671023965,0.5322812051649928
2091,30.203668929654775,6923,568,523,167,5,0.8208092485549133,0.2716403634624582,0.7882947976878613,0.5217599234815877
2145,30.814538141071683,6961,572,543,171,5,0.8218390804597702,0.26666666666666666,0.8010057471264368,0.5198135198135199
2143,30.65808297567954,6990,547,520,177,3,0.7825464949928469,0.2552496500233318,0.7632331902718169,0.4979001399906673
2254,32.131147540983605,7015,563,558,205,3,0.8031383737517832,0.24977817213842057,0.7990021382751248,0.49733806566104705
2330,33.091890356483454,7041,619,564,196,3,0.8792613636363636,0.26566523605150216,0.8401988636363636,0.507725321888412
